Mark,Total Weight (kg),Number of Records,Grade,Outturn,Bags,Pockets,Weight (kg),Status
,,,C,06BU0013,0,2,2.00,Unknown
NAMUSONGE EST,300,14,,,,,,
,,,AA,06BU0009,1,15,75.00,Unknown
,,,PB,06BU0009,0,15,15.00,Unknown
,,,AB,06BU0009,0,37,37.00,Unknown
,,,C,06BU0009,0,4,4.00,Unknown
,,,T,06BU0009,0,1,1.00,Unknown
,,,E,09BU0006,0,1,1.00,Unknown
,,,AA,09BU0006,0,28,28.00,Unknown
,,,PB,09BU0006,0,9,9.00,Unknown
,,,AB,09BU0006,0,51,51.00,Unknown
,,,C,09BU0006,0,6,6.00,Unknown
,,,T,09BU0006,0,1,1.00,Unknown
,,,MH,09BU0007,1,6,66.00,Unknown
,,,ML,09BU0007,0,5,5.00,Unknown
,,,T,09BU0007,0,1,1.00,Unknown
SEN EST,1216,7,,,,,,
,,,E,10BU0007,0,10,10.00,Unknown
,,,AA,10BU0007,4,9,240.00,Unknown
,,,PB,10BU0007,1,42,102.00,Unknown
,,,AB,10BU0007,12,8,729.00,Unknown
,,,C,10BU0007,1,38,98.00,Unknown
,,,T,10BU0007,0,13,13.00,Unknown
,,,HE,10BU0007,0,24,24.00,Unknown
SIKANGA EST,258,5,,,,,,
,,,AA,06BU0008,2,10,130.00,Unknown
,,,PB,06BU0008,0,18,18.00,Unknown
,,,AB,06BU0008,1,33,93.00,Unknown
,,,C,06BU0008,0,7,7.00,Unknown
,,,TT,06BU0008,0,10,10.00,Unknown
TESCO EST,35,5,,,,,,
,,,AA,09BU0010,0,7,7.00,Unknown
,,,PB,09BU0010,0,3,3.00,Unknown
,,,AB,09BU0010,0,21,21.00,Unknown
,,,C,09BU0010,0,3,3.00,Unknown
,,,T,09BU0010,0,1,1.00,Unknown
WAMBULWA EST,87,5,,,,,,
,,,AA,09BU0005,0,20,20.00,Unknown
,,,PB,09BU0005,0,7,7.00,Unknown
,,,AB,09BU0005,0,52,52.00,Unknown
,,,C,09BU0005,0,7,7.00,Unknown
,,,T,09BU0005,0,1,1.00,Unknown
BONDENI EST,66,5,,,,,,
,,,AA,06BU0015,0,30,30.00,Unknown
,,,PB,06BU0015,0,6,6.00,Unknown
,,,AB,06BU0015,0,26,26.00,Unknown
,,,C,06BU0015,0,3,3.00,Unknown
,,,T,06BU0015,0,1,1.00,Unknown
ELIUD SAIDI EST,19,2,,,,,,
,,,AA,06BU0004,0,16,16.00,Unknown
,,,T,06BU0004,0,3,3.00,Unknown
GIDEON MOIBEN TOO,863,7,,,,,,
,,,AA,10HM0009,2,24,144.00,Unknown
,,,AB,10HM0009,8,36,516.00,Unknown
,,,PB,10HM0009,0,33,33.00,Unknown
,,,C,10HM0009,1,57,117.00,Unknown
,,,T,10HM0009,0,14,14.00,Unknown
,,,TT,10HM0009,0,28,28.00,Unknown
,,,HE,10HM0009,0,11,11.00,Unknown
MUHITO FCS,3394,7,,,,,,
,,,AA,13TY0008,25,41,1541.00,Unknown
,,,AB,13TY0008,21,14,1273.00,Unknown
,,,PB,13TY0008,4,52,292.00,Unknown
,,,C,13TY0008,3,42,224.00,Unknown
,,,TT,13TY0008,0,12,12.00,Unknown
,,,T,13TY0008,0,24,24.00,Unknown
,,,HE,13TY0008,0,28,28.00,Unknown
MARYLAND FARMERS S.H.G,12689,16,,,,,,
,,,AA,15IM0058,33,41,2021.00,Unknown
,,,AB,15IM0058,58,31,3511.00,Unknown
,,,PB,15IM0058,5,54,354.00,Unknown
,,,C,15IM0058,9,30,570.00,Unknown
,,,TT,15IM0058,0,50,50.00,Unknown
,,,E,15IM0058,0,17,17.00,Unknown
,,,T,15IM0058,1,13,73.00,Unknown
,,,HE,15IM0058,0,14,14.00,Unknown
,,,AA,17IM0026,48,15,2895.00,Unknown
,,,AB,17IM0026,40,64,2464.00,Unknown
,,,PB,17IM0026,4,34,274.00,Unknown
,,,C,17IM0026,3,63,243.00,Unknown
,,,TT,17IM0026,0,58,58.00,Unknown
,,,E,17IM0026,0,62,62.00,Unknown
,,,T,17IM0026,0,58,58.00,Unknown
,,,HE,17IM0026,0,25,25.00,Unknown
KAPIRGO FCS LTD,1478,6,,,,,,
,,,AA,11HM0012,9,0,540.00,Unknown
,,,AB,11HM0012,10,23,623.00,Unknown
,,,PB,11HM0012,1,33,93.00,Unknown
,,,C,11HM0012,2,0,120.00,Unknown
,,,T,11HM0012,0,42,42.00,Unknown
,,,TT,11HM0012,1,0,60.00,Unknown
WATURI FARM,2475,15,,,,,,
,,,AA,09KM0010,6,32,399.00,Unknown
,,,AB,09KM0010,7,48,476.00,Unknown
,,,UG,09KM0010,5,48,354.00,Unknown
,,,UG1,09KM0010,0,38,39.00,Unknown
,,,UG2,09KM0010,0,41,42.00,Unknown
,,,AA,17IM0028,3,64,244.00,Unknown
,,,AB,17IM0028,10,12,612.00,Unknown
,,,PB,17IM0028,0,59,59.00,Unknown
,,,C,17IM0028,2,49,169.00,Unknown
