Mark,Total Weight (kg),Number of Records,Grade,Outturn,Bags,Pockets,Weight (kg),Status
NGARUA COFFEE GCS LTD,2415,2,,,,,,
,,,MH,18IM0030,32,61,1980.00,Unknown
,,,ML,18IM0030,7,16,435.00,Unknown
KIRURA FCS,8121,5,,,,,,
,,,AB,20KM0009,41,45,2505.00,Unknown
,,,AA,20KM0009,14,13,853.00,Unknown
,,,C,20KM0009,20,19,1219.00,Unknown
,,,UG1,20KM0008,51,34,3094.00,Unknown
,,,UG2,20KM0008,7,30,450.00,Unknown
POKOT FCS,18417,8,,,,,,
,,,E,16BU0001,0,29,29.00,Unknown
,,,AA,16BU0001,51,12,3072.00,Unknown
,,,PB,16BU0001,35,56,2156.00,Unknown
,,,AB,16BU0001,182,22,10942.00,Unknown
,,,C,16BU0001,32,11,1931.00,Unknown
,,,TT,16BU0001,1,30,90.00,Unknown
,,,T,16BU0001,2,37,157.00,Unknown
,,,HE,16BU0001,0,40,40.00,Unknown
KHALABA FCS,87,3,,,,,,
,,,HE,06BU0001,1,0,60.00,Unknown
,,,T,03BU0001,0,16,16.00,Unknown
,,,T,03BU0002,0,11,11.00,Unknown
KIBISI FCS,19,1,,,,,,
,,,T,14BU0005,0,19,19.00,Unknown
NAMANG'OFULO FCS,28,2,,,,,,
,,,T,05BU0002,0,6,6.00,Unknown
,,,T,05BU0001,0,22,22.00,Unknown
SIELALMA FCS,5,1,,,,,,
,,,T,04BU0001,0,5,5.00,Unknown
CHAMBUNI FCS,2,1,,,,,,
,,,T,07BU0001,0,2,2.00,Unknown
